Join_Count,TARGET_FID,STATEFP,COUNTYFP,CNTYIDFP,NAME,NAMELSAD,SALES_VOL,NUMBER_EMP
4,0,20,015,20015,Butler,Butler County,14959,25
5,1,20,009,20009,Barton,Barton County,13090,42
1,2,20,007,20007,Barber,Barber County,6083,11
4,3,27,031,27031,Cook,Cook County,3626,13
10,4,27,047,27047,Freeborn,Freeborn County,334730,802
0,5,27,039,27039,Dodge,Dodge County,0,0
9,6,27,045,27045,Fillmore,Fillmore County,82577,108
1,7,27,081,27081,Lincoln,Lincoln County,213,3
5,8,27,167,27167,Wilkin,Wilkin County,7736,10
4,9,27,093,27093,Meeker,Meeker County,21299,42
15,10,27,019,27019,Carver,Carver County,288517,1215
5,11,27,133,27133,Rock,Rock County,73302,257
3,12,27,033,27033,Cottonwood,Cottonwood County,98780,209
4,13,27,069,27069,Kittson,Kittson County,7120,12
10,14,27,041,27041,Douglas,Douglas County,152902,180
4,15,27,157,27157,Wabasha,Wabasha County,187745,359
17,16,27,119,27119,Polk,Polk County,923067,1317
10,17,27,035,27035,Crow Wing,Crow Wing County,89125,67
11,18,27,061,27061,Itasca,Itasca County,51447,119
15,19,27,109,27109,Olmsted,Olmsted County,372102,978
6,20,27,091,27091,Martin,Martin County,58825,259
11,21,27,131,27131,Rice,Rice County,199962,582
3,22,27,057,27057,Hubbard,Hubbard County,179118,478
14,23,27,067,27067,Kandiyohi,Kandiyohi County,109570,216
20,24,27,171,27171,Wright,Wright County,194545,1165
2,25,55,003,55003,Ashland,Ashland County,3480,10
3,26,21,081,21081,Grant,Grant County,2354,6
3,27,55,023,55023,Crawford,Crawford County,2492,12
9,28,55,065,55065,Lafayette,Lafayette County,208322,255
24,29,55,059,55059,Kenosha,Kenosha County,439235,1712
1,30,55,037,55037,Florence,Florence County,284,0
7,31,55,031,55031,Douglas,Douglas County,11229,47
2,32,21,089,21089,Greenup,Greenup County,1491,21
0,33,21,103,21103,Henry,Henry County,0,0
9,34,55,011,55011,Buffalo,Buffalo County,173974,324
17,35,55,063,55063,La Crosse,La Crosse County,457191,827
3,36,55,001,55001,Adams,Adams County,37624,51
1,37,21,061,21061,Edmonson,Edmonson County,284,0
20,38,55,005,55005,Barron,Barron County,1050282,2958
5,39,55,093,55093,Pierce,Pierce County,55978,71
0,40,21,187,21187,Owen,Owen County,0,0
16,41,26,017,26017,Bay,Bay County,26725,487
0,42,21,189,21189,Owsley,Owsley County,0,0
2,43,26,019,26019,Benzie,Benzie County,19980,190
1,44,21,221,21221,Trigg,Trigg County,3990,10
